starttime	seconds	ctime	dtime	ttime	wait
Fri May 31 14:50:40 2024	1717147240	0	51	51	51
Fri May 31 14:50:40 2024	1717147240	0	51	51	51
Fri May 31 14:50:46 2024	1717147246	0	52	53	52
Fri May 31 14:50:40 2024	1717147240	0	53	53	52
Fri May 31 14:50:43 2024	1717147243	0	53	53	53
Fri May 31 14:50:40 2024	1717147240	0	55	55	54
Fri May 31 14:50:47 2024	1717147247	0	55	55	55
Fri May 31 14:50:41 2024	1717147241	0	56	56	56
Fri May 31 14:50:43 2024	1717147243	0	56	57	56
Fri May 31 14:50:43 2024	1717147243	0	57	57	56
Fri May 31 14:50:41 2024	1717147241	0	59	59	58
Fri May 31 14:50:43 2024	1717147243	0	59	60	59
Fri May 31 14:50:45 2024	1717147245	0	60	60	60
Fri May 31 14:50:41 2024	1717147241	0	60	60	60
Fri May 31 14:50:39 2024	1717147239	2	61	62	59
Fri May 31 14:50:44 2024	1717147244	0	63	63	62
Fri May 31 14:50:43 2024	1717147243	0	65	65	64
Fri May 31 14:50:40 2024	1717147240	0	65	65	65
Fri May 31 14:50:39 2024	1717147239	3	63	66	63
Fri May 31 14:50:40 2024	1717147240	0	66	66	64
Fri May 31 14:50:47 2024	1717147247	0	66	66	66
Fri May 31 14:50:44 2024	1717147244	0	66	66	48
Fri May 31 14:50:41 2024	1717147241	0	67	67	67
Fri May 31 14:50:40 2024	1717147240	0	68	68	68
Fri May 31 14:50:41 2024	1717147241	0	69	69	57
Fri May 31 14:50:41 2024	1717147241	0	69	69	69
Fri May 31 14:50:41 2024	1717147241	0	70	70	69
Fri May 31 14:50:47 2024	1717147247	1	69	70	69
Fri May 31 14:50:41 2024	1717147241	0	71	71	70
Fri May 31 14:50:44 2024	1717147244	0	71	71	70
Fri May 31 14:50:43 2024	1717147243	0	71	71	70
Fri May 31 14:50:39 2024	1717147239	2	68	71	68
Fri May 31 14:50:41 2024	1717147241	0	71	71	71
Fri May 31 14:50:43 2024	1717147243	0	73	73	72
Fri May 31 14:50:44 2024	1717147244	0	73	73	69
Fri May 31 14:50:45 2024	1717147245	0	73	73	73
Fri May 31 14:50:39 2024	1717147239	3	71	73	70
Fri May 31 14:50:45 2024	1717147245	0	74	74	73
Fri May 31 14:50:43 2024	1717147243	0	74	75	74
Fri May 31 14:50:41 2024	1717147241	0	75	75	74
Fri May 31 14:50:46 2024	1717147246	0	75	75	74
Fri May 31 14:50:39 2024	1717147239	3	73	75	72
Fri May 31 14:50:43 2024	1717147243	0	76	76	75
Fri May 31 14:50:41 2024	1717147241	0	76	76	75
Fri May 31 14:50:41 2024	1717147241	0	76	76	75
Fri May 31 14:50:39 2024	1717147239	2	74	76	73
Fri May 31 14:50:44 2024	1717147244	0	77	77	76
Fri May 31 14:50:45 2024	1717147245	0	77	77	77
Fri May 31 14:50:41 2024	1717147241	0	78	78	78
Fri May 31 14:50:41 2024	1717147241	0	79	79	78
Fri May 31 14:50:42 2024	1717147242	0	79	79	79
Fri May 31 14:50:41 2024	1717147241	0	80	80	80
Fri May 31 14:50:41 2024	1717147241	0	80	80	80
Fri May 31 14:50:41 2024	1717147241	0	80	80	80
Fri May 31 14:50:44 2024	1717147244	0	80	80	79
Fri May 31 14:50:45 2024	1717147245	0	81	81	80
Fri May 31 14:50:41 2024	1717147241	0	81	81	81
Fri May 31 14:50:44 2024	1717147244	0	81	81	80
Fri May 31 14:50:41 2024	1717147241	0	81	81	81
Fri May 31 14:50:40 2024	1717147240	0	82	82	82
Fri May 31 14:50:41 2024	1717147241	0	82	82	82
